INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200505_080402.wav,0,1986.410645,1.024,398.438,498.58,656.25,2020-05-05,08:37:08.410,8,2020-05-04,20:37:08.410,20,cluster.4,1.325279,cluster.1,1.369807,cluster.2,1.378843,1,Lyrtet_rugolio,,,,,7gT5s4uD/8+E0yya5+M5jw==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200508_070002.wav,0,240.042664,1.173333,445.313,564.967,679.688,2020-05-08,07:04:02.041,7,2020-05-07,19:04:02.041,19,cluster.4,1.325285,cluster.1,1.373326,cluster.2,1.380265,1,Lyrtet_rugolio,,,,,4i2gAf/QV8M99pMCJSaRYA==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200426_063000.wav,0,2870.506592,1.002667,421.875,564.538,703.125,2020-04-26,07:17:50.506,7,2020-04-25,19:17:50.506,19,cluster.4,1.325294,cluster.0,1.343738,cluster.2,1.348553,1,Lyrtet_rugolio,,,,,vScuqSaGH8KFUCfdWDA8cg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_071602.wav,0,1070.890625,1.642667,468.75,578.48,726.563,2020-04-27,07:33:52.890,7,2020-04-26,19:33:52.890,19,cluster.4,1.325308,cluster.5,1.382004,cluster.2,1.40409,1,Lyrtet_rugolio,,,,,eK4rBI83qlCFkOlJQjdP9Q==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200505_060402.wav,0,1992.447998,1.472,468.75,585.938,679.688,2020-05-05,06:37:14.448,6,2020-05-04,18:37:14.448,18,cluster.4,1.32531,cluster.1,1.363666,cluster.2,1.378285,1,Lyrtet_rugolio,,,,,NT7ROB8OP07aFv+qbKBfxA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200508_070002.wav,0,1429.802612,7.232,421.875,531.168,703.125,2020-05-08,07:23:51.801,7,2020-05-07,19:23:51.801,19,cluster.4,1.32532,cluster.1,1.37559,cluster.2,1.383469,1,Lyrtet_rugolio,,,,,4i2gAf/QV8M99pMCJSaRYA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_061602.wav,0,1330.197388,1.664,421.875,540.559,703.125,2020-04-27,06:38:12.196,6,2020-04-26,18:38:12.196,18,cluster.4,1.325334,cluster.2,1.344352,cluster.0,1.34609,1,Lyrtet_rugolio,,,,,f7X8RgJORYqRSqh29PmINA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_091602.wav,0,1508.458618,1.536,445.313,524.219,679.688,2020-04-27,09:41:10.458,9,2020-04-26,21:41:10.458,21,cluster.4,1.325341,cluster.1,1.372897,cluster.2,1.37763,1,Lyrtet_rugolio,,,,,di3TCSecA4ytd7cT6zmDXQ==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200426_063000.wav,0,1918.613281,1.472,492.188,576.823,679.688,2020-04-26,07:01:58.612,7,2020-04-25,19:01:58.612,19,cluster.4,1.325342,cluster.1,1.372028,cluster.2,1.378815,1,Lyrtet_rugolio,,,,,vScuqSaGH8KFUCfdWDA8cg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_080502.wav,0,2740.693359,1.706667,445.313,552.912,656.25,2020-05-04,08:50:42.692,8,2020-05-03,20:50:42.692,20,cluster.4,1.325368,cluster.1,1.373705,cluster.2,1.384134,1,Lyrtet_rugolio,,,,,N4enHBi2NgcjnDX0mv3fNg==
